1671,孫策,水,人類,5,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""流水追擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，個人追打水屬性攻擊 3 次     "",""tag"":[""自身追打"",""水屬追打""]}]",[],50,10,4,v15.00,,
1672,耿直理想家 ‧ 孫策,水,人類,6,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""驍雄之攻"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，連擊 (Combo) 數目愈高，自身攻擊力愈高，消除 10 連擊 (Combo) 可達至最大 15 倍     "",""tag"":[""增傷"",""界王拳""]}]","[{""description"":""     ◆ 最左方的「僭逆王徒 ‧ 孫權」及最左方的「耿直理想家 ‧ 孫策」的主動技能 CD 減少 2     "",""activate"":""以「僭逆王徒 ‧ 孫權」及「耿直理想家 ‧ 孫策」作成員"",""skill_tag"":[""永久減CD""],""activate_tag"":[""指定成員""],""relative"":[1672,1287]},{""description"":""     ◆ 其他屬性符石兼具 35% 水符石效果     "",""activate"":""以「耿直理想家 ‧ 孫策」作隊長及戰友"",""skill_tag"":[""符石兼具水"",""火兼具其他"",""木兼具其他"",""光兼具其他"",""暗兼具其他""],""activate_tag"":[""指定雙隊長""],""relative"":[1672]}]",99,12,4,v15.00,,1673,祝融,火,人類,5,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""流燄追擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，個人追打火屬性攻擊 3 次     "",""tag"":[""自身追打"",""火屬追打""]}]",[],50,10,4,v15.00,,
1674,蟄伏魍魎 ‧ 祝融,火,人類,6,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""驍勇之力"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     每首批消除 3 種或以上的屬性符石可以累積 1 點蠻力，最多可累積 5 點。1 回合內，自身攻擊力 2.5 倍，發動此技能時的蠻力愈多，自身攻擊力提升愈多，最大 10 倍。發動技能後蠻力將重新累積     "",""tag"":[""增傷"",""界王拳""]}]","[{""description"":""     ◆ 首批消除火符石，於回合結束時，根據隊伍中人類成員的數量轉化相應的火人族符石 (光及暗符石優先轉換)     "",""activate"":""以「蟄伏魍魎 ‧ 祝融」作隊長及戰友"",""skill_tag"":[""符石轉火"",""人族符石製造""],""activate_tag"":[""指定雙隊長""],""relative"":[1674]},{""description"":""     ◆「愚者蠻王 ‧ 孟獲」的主動技能 CD 減少 2     "",""activate"":""以「愚者蠻王 ‧ 孟獲」及「蟄伏魍魎 ‧ 祝融」作成員"",""skill1675,陸遜,木,人類,5,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""流木追擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，個人追打木屬性攻擊 3 次     "",""tag"":[""自身追打"",""木屬追打""]}]",[],50,10,4,v15.00,,
1676,爛漫術士 ‧ 陸遜,木,人類,6,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""自然之護"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     每首批消除 1 粒木符石可減少 6.25% 所受傷害，消除 12 粒可減少最多 75% 所受傷害，效果持續至沒有首批消除木符石。效果持續期間技能不會冷卻     "",""tag"":[[""減傷"",-1]]}]",[],99,12,4,v15.00,,
1677,黃忠,光,人類,5,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""流光追擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，個人追打光屬性攻擊 3 次     "",""tag"":[""自身追打"",""光屬追打""]}]",[],50,10,4,v15.00,,
1678,忠義無悔 ‧ 黃忠,光,人類,6,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""穿心箭"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     I. 光屬性人類成員攻擊力基值     ⇒ 減至 0     II. 將被減去攻擊力基值 1.5 倍加入自身攻擊力基值      (效果會在再次發動此技能或死亡後消失)     III. 消除光符石才會發動攻擊          此技能可隨時關閉，關閉時：     ⓵ 當前技能 CD -2     "",""tag"":[[""我方減攻"",-1],[""增傷"",-1],[""界王拳"",-1],[""我方攻擊力吸收"",-1],""減CD"",""隨時關閉"",""頭像狀態""]}]","[{""description"":""     ◆ 所有成員生命力基值 1.2 倍     "",""activate"":""以「忠義無悔 ‧ 黃忠」或「忠勇烈弓 ‧ 黃忠」作成員，且隊伍中有 6 個光屬性人類成員"",""skill_tag"":[""增血""],""activate_tag"":[""指定屬性成員"",""指定種族成員""],""relative"":[1678,2264]}]",99,15,4,v15.00,,
1679,夏侯惇,暗,人類,5,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""流影追擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，個人追打暗屬性攻擊 3 次     "",""tag"":[""自身追打"",""暗屬追打""]}]",[],50,10,4,v15.00,,
1680,獨眼戰鬼 ‧ 夏侯惇,暗,人類,6,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""反殺之狠"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     自身攻擊力 2.5 倍；每當敵人發動攻擊，下回合人類及魔族成員以 50% 自身攻擊力追打 1 次自身屬性攻擊。效果持續至首批消除 5 種屬性符石     "",""tag"":[[""暗屬追打"",-1],[""增傷"",-1],[""界王拳"",-1]]}]","[{""description"":""     ◆ 鎖定 9 個固定位置，消除固定位置內的所有符石時 (只計算首批消除的符石)：該回合全隊攻擊力提升 1.5 倍及在回合結束時，將該鎖定位置的符石轉化為 3 粒火、3 粒木及 3 粒暗符石     "",""activate"":""以「獨眼戰鬼 ‧ 夏侯惇」作隊長及戰友"",""skill_tag"":[""增攻"",""符石轉火"",""符石轉木"",""符石轉暗"",""固定版面""],""activate_tag"":[""指定雙隊長""],""relative"":[1680]}]",99,12,4,v15.00,,
1681,蔡文姬,水,人類,5,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""流水追擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，個人追打水屬性攻擊 3 次     "",""tag"":[""自身追打"",""水屬追打""]}]",[],50,10,4,v15.00,,
1682,多舛才女 ‧ 蔡文姬,水,人類,6,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""三原漫布"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     將水、火及木符石添加為人族符石，並引爆所有光、暗及心符石，以掉落水、火及木符石     "",""tag"":[""人族符石製造"",""引爆"",""光符石引爆"",""暗符石引爆"",""心符石引爆"",""引爆強制掉落""]}]","[{""description"":""     ◆ 必然延長移動符石時間 1 秒     "",""activate"":""以「多舛才女 ‧ 蔡文姬」作成員，且隊伍中只有 3 種屬性人類成員"",""skill_tag"":[""延長轉珠時間""],""activate_tag"":[""指定種族成員""],""relative"":[1682]}]",99,12,4,v15.00,,
1683,孟獲,火,人類,5,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""流燄追擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，個人追打火屬性攻擊 3 次     "",""tag"":[""自身追打"",""火屬追打""]}]",[],50,10,4,v15.00,,
1684,愚者蠻王 ‧ 孟獲,火,人類,6,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""烈焰之志"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     所有符石隨機轉化為火符石及 2 種屬性符石 (優先轉換隊伍成員屬性符石)；1 回合內，其他屬性符石兼具 50% 火符石效果     "",""tag"":[""大幅轉版"",""符石轉火"",""符石兼具火""]}]","[{""description"":""     ◆「愚者蠻王 ‧ 孟獲」的主動技能 CD 減少 2     "",""activate"":""以「愚者蠻王 ‧ 孟獲」及「蟄伏魍魎 ‧ 祝融」作成員"",""skill_tag"":[""永久減CD""],""activate_tag"":[""指定成員""],""relative"":[1684,1674]}]",99,12,4,v15.00,,
1685,袁紹,光,人類,5,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""流光追擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，個人追打光屬性攻擊 3 次     "",""tag"":[""自身追打"",""光屬追打""]}]",[],50,10,4,v15.00,,
1686,妄為紈絝 ‧ 袁紹,光,人類,6,"[""三國 ‧ 貳""]",FALSE,,"[{""name"":""人族戰略 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     全隊回復力減少 50%；光屬性攻擊力 1.5 倍，當隊伍中只有人類成員時，光屬性攻擊力額外提升 1.3 倍 (效果會在關閉此技能或死亡後消失)     "",""tag"":[[""我方減回"",-1],[""增傷"",-1],""頭像狀態""]}]",[],99,12,4,v15.00,,
