1590,灼熱本能 ‧ K´,火,人類,6,"[""戰慄級"",""拳皇""]",TRUE,,"[{""name"":""熱力驅動"",""type"":""normal"",""charge"":""CD"",""num"":9,""description"":""     1 回合內，自身攻擊力 8 倍。回合結束時，自身及身旁的火屬性成員所在隊伍欄直行的符石轉化為火符石     "",""tag"":[""符石轉火"",""增傷"",""界王拳""]}]","[{""description"":""     ◆ 所有成員     ⇒ 「生命力、攻擊力及回復力」基值 1.5 倍     "",""activate"":""隊中只有拳皇合作角色成員"",""skill_tag"":[""增攻"",""增回"",""增血""],""activate_tag"":[""指定成員""],""relative"":[""拳皇""]}]",99,12,0,v14.10,,TRUE
1591,瞬間凍結 ‧ 庫拉,水,人類,6,"[""戰慄級"",""拳皇""]",TRUE,,"[{""name"":""鑽石冰刃"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     將自身所在隊伍欄直行的符石轉化為水強化符石並儲滿龍脈儀。若龍脈儀已儲滿，更會凍結敵方全體，使受影響目標無法行動並轉為水屬性，持續 1 回合 (同一回合只能發動一次)     "",""tag"":[""符石轉水"",""符石轉水強化"",""無法行動"",""凍結敵方"",""敵方轉水"",""龍脈儀蓄能"",""敵身狀態""]}]","[{""description"":""     ◆ 所有成員     ⇒ 「生命力、攻擊力及回復力」基值 1.5 倍     "",""activate"":""隊中只有拳皇合作角色成員"",""skill_tag"":[""增攻"",""增回"",""增血""],""activate_tag"":[""指定成員""],""relative"":[""拳皇""]},{""description"":""     ◆ 全隊所受傷害減少 25%     (此隊伍技能效果不能疊加)     "",""activate"":""以「瞬間凍結 ‧ 庫拉」作成員，且隊中只有水屬�1622,挺拔固守 ‧ 仙人掌,木,妖精類,6,"[""戰慄級""]",FALSE,,"[{""name"":""勇武之刺"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     消除的心符石愈多，全隊攻擊力及回復力提升愈多，消除 8 粒心符石可提升至最大 2 倍；但受到的傷害提升 1.5 倍，效果持續至沒有消除心符石     "",""tag"":[[""增傷"",-1],[""增回"",-1],[""我方受傷增加"",-1]]}]",[],99,12,0,v14.20,,
1694,疾速機械劍齒虎,火,機械族,6,"[""戰慄級""]",FALSE,,"[{""name"":""赤紅助力"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     達成 4 連擊 (Combo) 或以上時，自身及左旁的火屬性成員攻擊力 2.5 倍 (效果會在關閉此技能或死亡後消失)。此技能可隨時關閉，關閉時，所有符石轉化為強化符石     "",""tag"":[[""增傷"",-1],[""界王拳"",-1],""符石強化"",""隨時關閉"",""頭像狀態""]}]","[{""description"":""     ◆ 每回合所有成員以 10% 自身攻擊力隨機追打火屬性攻擊 1 至 6 次     "",""activate"":""以「疾速機械劍齒虎」作成員，且隊中只有 2 個火屬性成員"",""skill_tag"":[""火屬追打""],""activate_tag"":[""指定屬性成員""],""relative"":[1694]}]",99,12,0,v15.00,,
1773,尼飛彼多,暗,魔族,6,"[""戰慄級""]",TRUE,,"[{""name"":""黑子舞想"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     8 秒內，可任意移動符石而不會發動消除；1 回合內，妖精類及魔族攻擊力 1.6 倍     "",""tag"":[""排珠"",""增傷""]},{""name"":""玩具修理者"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     連續 3 回合回復 30% 總生命力     "",""tag"":[[""回血"",3]]}]","[{""description"":""     ◆ 最左方的 2 隻「梅路艾姆」     ⇒ 攻擊力基值 2 倍     "",""activate"":""以「梅路艾姆」及「尼飛彼多」作成員"",""skill_tag"":[],""activate_tag"":[""指定成員""],""relative"":[1771,1773]}]",99,12,0,v15.30,,
1798,軀,火,魔族,6,"[""戰慄級""]",TRUE,,"[{""name"":""斷空束縛"",""type"":""normal"",""charge"":""CD"",""num"":9,""description"":""     點選 1 橫行及 1 直行的符石並引爆，以掉落魔族強化符石；1 回合內，消除符石後首 20 粒掉落的符石必定為火及暗符石     "",""tag"":[""引爆"",""直行引爆"",""橫行引爆"",""魔族符石製造"",""天降強制掉落""]},{""name"":""魔界 ‧ 同盟"",""type"":""combine"",""member"":[1793,1798],""charge"":""CD"",""num"":-1,""description"":""     引爆場上所有符石，以掉落所在直行魔族成員屬性的強化符石，魔族以外成員直行的符石則隨機掉落     "",""tag"":[""引爆"",""整版引爆"",""引爆強制掉落"",""魔族符石製造""]}]","[{""description"":""     ◆ 最左方的『「軀」；及「飛影」或「邪眼 ‧ 飛影」』     ⇒ 「生命力、攻擊力及回復力」基值 1.5 倍     "",""activate"":""以「飛影」或「邪眼 ‧ 飛影」；及「軀」作成員"",""s1857,背城之旅龍 ‧ 藍托,光,龍類,6,"[""戰慄級""]",FALSE,,"[{""name"":""龍量之約"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     I. 隊中有人類、神族或魔族成員時     ⇒ 隨機將 15 粒符石轉化為強化符石     II. 隊中有上述其中 2 個種族成員時     ⇒ 則將所有符石轉化為強化符石          III. 隊中有龍類、獸類或妖精類成員時     ⇒ 1 回合內，全隊攻擊力 2 倍     IV. 隊中有上述其中 2 個種族成員時     ⓵ 則全隊攻擊力 2.5 倍     ⓶ 全隊無視「攻前盾」          V. 隊中有機械族成員時     ⇒ 1 回合內     ⓵ 完全回復生命力     ⓶ 無視全體敵人的防禦力     "",""tag"":[""符石強化"",""增傷"",""無視攻前盾"",""回血"",""破防""]}]","[{""description"":""     ◆ 最左方的「背城之旅龍 ‧ 藍托」     ⇒ 技能 CD -4     "",""activate"":""以「背城之旅龍 ‧ 藍托」作成員，且隊中有 ≥4 種族成員"",""skill_tag"":1952,九頭吐舌 ‧ 海德拉,水,龍類,6,"[""戰慄級""]",FALSE,,"[{""name"":""九九激濤"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     將 9 粒符石轉化為水強化符石 (火符石優先轉換)。1 回合內，首批消除所有水符石時，個人追打水屬性攻擊 9 次     "",""tag"":[""符石轉水"",""符石轉水強化"",""自身追打"",""水屬追打""]}]",[],99,12,0,v16.20,,
2027,可塑性生命 ‧ 薛丁格,暗,機械族,6,"[""戰慄級""]",FALSE,,"[{""name"":""機械實驗"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     引爆隊伍中攻擊力基值最高的 3 個機械族成員直行的符石，以掉落該直行成員屬性的符石；若發動技能時我方生命力為 1，機械族成員的主動技能 CD 減少 2     "",""tag"":[""引爆"",""直行引爆"",""引爆強制掉落"",""減CD""]}]",[],99,12,0,v17.00,,
2071,風騷母夜叉 ‧ 孫二娘,暗,妖精類,6,"[""戰慄級""]",FALSE,,"[{""name"":""人肉包子"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     2 回合內，自身攻擊力 4 倍，個人追打火屬性攻擊 1 次；效果期間，以攻前炮擊或攻擊傷害擊斃敵人，自身主動技能 CD 減少 1     "",""tag"":[[""自身追打"",2],[""火屬追打"",2],[""增傷"",2],[""界王拳"",2],[""減CD"",2]]}]",[],99,12,0,v17.10,,
2124,天秤座 ‧ 童虎,木,人類,6,"[""戰慄級"",""聖鬥士""]",TRUE,,"[{""name"":""廬山百龍霸 (童虎)"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     I. 引爆場上所有符石，每直行首粒掉落的必定為木符石     II. 1 回合內，所有成員以 30% 攻擊力追打木屬性攻擊 10 次     "",""tag"":[""引爆"",""整版引爆"",""引爆強制掉落"",""全隊追打"",""木屬追打""]}]","[{""description"":""     隊伍中最左方的「天秤座 ‧ 童虎」；及最左方的「天龍座 ‧ 紫龍」或「黃金天秤座 ‧ 紫龍」的生命力、攻擊力及回復力 1.5 倍     "",""activate"":""隊伍中有「天秤座 ‧ 童虎」；「天龍座 ‧ 紫龍」或「黃金天秤座 ‧ 紫龍」作成員"",""skill_tag"":[""增攻"",""增回"",""增血""],""activate_tag"":[""指定成員""],""relative"":[2124,2105,2106]},{""description"":""     最左方的「白羊座 ‧ 希歐」及最左方的「天秤座 ‧ 童虎」     I. 生命力、攻�2141,破天滅地 ‧ 共工,水,獸類,6,"[""戰慄級""]",FALSE,,"[{""name"":""洪水怒濤"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     1 回合內，將敵方全體的防禦力減至 0     ⇒ 並將被減去的防禦力加入自身攻擊力     ⇒ 最多可提升至 20000 點攻擊力     "",""tag"":[""破防"",""增傷"",""界王拳"",""敵身狀態""]}]",[],99,12,0,v17.30,,
2165,超大魔王獸 ‧ 魔格禍岐大蛇,火,獸類,7,"[""戰慄級"",""侵略者""]",TRUE,,"[{""name"":""魔格八岐迅雷"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. 1 回合內     ⇒ 火屬性獸類攻擊力 1.75 倍     ⇒ 消除所有附加效果     II. 消除的效果愈多     ⇒ 火屬性獸類攻擊力提升愈多     ⇒ 最大提升至 2.75 倍     III. 隊伍中只有獸類成員時     ⇒ 可任意移動符石而不會發動消除     "",""tag"":[""增傷"",""附加消除"",""排珠"",""多重左上狀態""]}]",[],99,12,0,v17.40,,
2180,曠野弓手 ‧ 謝森沃,光,妖精類,6,"[""戰慄級""]",FALSE,,"[{""name"":""穿魂箭"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     個人追打攻擊力 3 倍的攻擊 1 次     ⇒ 下回合額外增加 1 次追打     ⇒ 5 回合可增加最多 5 次追打     效果持續至沒有消除 1 組 ≥6 粒心符石     "",""tag"":[[""增傷"",-1],[""界王拳"",-1],[""光屬追打"",-1],[""自身追打"",-1]]}]",[],99,12,0,v18.00,,
