531,太師聞仲,水,人類,5,"[""封神演義""]",FALSE,,"[{""name"":""絕地反擊 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，心符石的掉落機率降至 0，並將原有機率增加至水符石的掉落機率     "",""tag"":[[""禁珠"",3],[""改變掉落機率"",3]]}]",[],50,15,4,v5.00,,
532,普化天尊 ‧ 聞仲,水,人類,6,"[""封神演義""]",FALSE,,"[{""name"":""絕地反擊 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，心符石的掉落機率降至 0，並將原有機率增加至水符石的掉落機率     "",""tag"":[[""禁珠"",3],[""改變掉落機率"",3]]}]",[],99,15,4,v5.00,,
533,道僧燃燈,火,神族,5,"[""封神演義""]",FALSE,,"[{""name"":""鐵壁陣勢 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為心強化符石     "",""tag"":[""符石轉心"",""符石轉心強化"",""木轉其他""]}]",[],50,15,4,v5.00,,
534,錠光如來 ‧ 燃燈,火,神族,6,"[""封神演義""]",FALSE,,"[{""name"":""鐵壁陣勢 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為心強化符石     "",""tag"":[""符石轉心"",""符石轉心強化"",""木轉其他""]}]",[],99,15,4,v5.00,,
535,靈將楊戩,木,人類,5,"[""封神演義""]",FALSE,,"[{""name"":""枯朽的戰場"",""type"":""normal"",""charge"":""CD"",""num"":12,""description"":""     2 回合內，敵方全體轉為水屬性，並提升木屬性對水屬性目標的攻擊力     "",""tag"":[[""敵方轉水"",2],[""增傷"",2],[""敵方受傷增加"",2],""敵身狀態""]}]",[],50,12,4,v5.00,,
536,清源仙將 ‧ 楊戩,木,人類,6,"[""封神演義""]",FALSE,,"[{""name"":""枯朽的戰場"",""type"":""normal"",""charge"":""CD"",""num"":12,""description"":""     2 回合內，敵方全體轉為水屬性，並提升木屬性對水屬性目標的攻擊力     "",""tag"":[[""敵方轉水"",2],[""增傷"",2],[""敵方受傷增加"",2],""敵身狀態""]}]",[],99,12,4,v5.00,,
537,仙道姜尚,光,神族,5,"[""封神演義""]",FALSE,,"[{""name"":""鐵壁陣勢 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     暗符石轉化為心強化符石     "",""tag"":[""符石轉心"",""符石轉心強化"",""暗轉其他""]}]",[],50,15,4,v5.00,,
538,封神仙帥 ‧ 姜子牙,光,神族,6,"[""封神演義""]",FALSE,,"[{""name"":""鐵壁陣勢 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     暗符石轉化為心強化符石     "",""tag"":[""符石轉心"",""符石轉心強化"",""暗轉其他""]}]",[],99,15,4,v5.00,,
539,仙道申公豹,暗,神族,5,"[""封神演義""]",FALSE,,"[{""name"":""攻擊強化 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為暗強化符石     "",""tag"":[""符石轉暗"",""符石轉暗強化"",""心轉其他""]}]",[],50,15,4,v5.00,,
540,號雷鬥罡 ‧ 申公豹,暗,神族,6,"[""封神演義""]",FALSE,,"[{""name"":""攻擊強化 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為暗強化符石     "",""tag"":[""符石轉暗"",""符石轉暗強化"",""心轉其他""]}]",[],99,15,4,v5.00,,
