2051,驪姬,水,妖精類,5,"[""妖魔傾城""]",FALSE,,"[{""name"":""水波猛擊 ‧ 強"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 20 倍水屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v17.10,,
2052,母愛啟蒙 ‧ 驪姬,水,妖精類,6,"[""妖魔傾城""]",FALSE,,"[{""name"":""醉人之姿"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     2 回合內，可任意移動符石而不會發動消除，水屬性及妖精類攻擊力 2 倍     "",""tag"":[[""排珠"",2],[""增傷"",2]]}]","[{""description"":""     ◆ 每進入下一層數 (Wave) 時，隨機將 3 粒符石轉化為妖族符石     "",""activate"":""隊長及戰友為妖精類成員，並以「母愛啟蒙 ‧ 驪姬」、「斷袖縱情 ‧ 龍陽君」或「殉愛杳渺 ‧ 楊玉環」作成員"",""skill_tag"":[""妖族符石製造""],""activate_tag"":[""指定隊長戰友""],""relative"":[2052,2056,2064]}]",99,12,0,v17.10,,
2053,夏娃,火,魔族,5,"[""妖魔傾城""]",FALSE,,"[{""name"":""火焰猛擊 ‧ 強"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 20 倍火屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v17.10,,
2054,魔性原罪 ‧ 夏娃,火,魔族,6,"[""妖魔傾城""]",FALSE,,"[{""name"":""禁果之惑"",""type"":""normal"",""charge"":""CD"",""num"":3,""description"":""     火及心符石轉化為魔族強化符石，若隊長及戰友均為「魔性原罪 ‧ 夏娃」時，所有「魔性原罪 ‧ 夏娃」獲得 1 個禁果     "",""tag"":[""符石強化"",""符石轉火強化"",""符石轉心強化"",""魔族符石製造""]},{""name"":""親嚐禁果"",""type"":""normal"",""charge"":""CD"",""num"":3,""description"":""     若隊長及戰友均為「魔性原罪 ‧ 夏娃」時，消耗戰友的 2 個禁果以發動技能：1 回合內，火屬性及魔族攻擊力 2.2 倍，「魔性原罪 ‧ 夏娃」的攻擊無視敵人防禦力     "",""tag"":[""破防"",""增傷""]}]","[{""description"":""     ◆ 每消除 1 組 5 粒或以上的心或火符石時，1 個「魔性原罪 ‧ 夏娃」 (最左方優先) 獲得 1 個禁果，消除 2 組可獲最多 2 個禁果。「魔性原罪 ‧ 夏娃」最多可�2055,龍陽君,木,妖精類,5,"[""妖魔傾城""]",FALSE,,"[{""name"":""大地猛擊 ‧ 強"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 20 倍木屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v17.10,,
2056,斷袖縱情 ‧ 龍陽君,木,妖精類,6,"[""妖魔傾城""]",FALSE,,"[{""name"":""慾念之誘"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     木符石添加為妖族符石。1 回合內，隊伍成員攻擊次數 (不計炮擊) 愈多，所受傷害減少愈多，10 次攻擊可減少最多 100% 所受傷害     "",""tag"":[""減傷"",""妖族符石製造""]}]","[{""description"":""     ◆ 每進入下一層數 (Wave) 時，隨機將 3 粒符石轉化為妖族符石     "",""activate"":""隊長及戰友為妖精類成員，並以「母愛啟蒙 ‧ 驪姬」、「斷袖縱情 ‧ 龍陽君」或「殉愛杳渺 ‧ 楊玉環」作成員"",""skill_tag"":[""妖族符石製造""],""activate_tag"":[""指定隊長戰友""],""relative"":[2052,2056,2064]}]",99,12,0,v17.10,,
2057,武則天,光,魔族,5,"[""妖魔傾城""]",FALSE,,"[{""name"":""閃光猛擊 ‧ 強"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 20 倍光屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v17.10,,
2058,后儀天下 ‧ 武則天,光,魔族,6,"[""妖魔傾城""]",FALSE,,"[{""name"":""集權之謀"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     引爆隊伍成員屬性以外的符石，以掉落強化符石。1 回合內，延長移動符石時間至 12 秒；每首批消除 2 組符石，魔族及光屬性成員以 30% 自身攻擊力追打光屬性攻擊 1 次，最多可追打 5 次     "",""tag"":[""光屬追打"",""引爆"",""延長轉珠時間""]}]","[{""description"":""     ◆ 隊長的隊長技能「魔曌之勢」變為「魔曌之勢 ‧ 強」          隊伍中只有魔族成員時：     I. 魔族攻擊力 4 倍，光屬性魔族攻擊力則 5 倍     II. 消除魔族符石時     ⇒ 全隊攻擊力額外 2 倍     III. 若轉珠結束時放手的符石為屬性符石：     ⓵ 該種屬性符石兼具其他符石效果     ⓶ 移動符石時觸碰的首 5 粒符石     ⇒ 轉化為該屬性魔族強化符石     ⓷ 減少 90% 所受傷害，受到 5 次攻擊�2059,克麗奧,暗,魔族,5,"[""妖魔傾城""]",FALSE,,"[{""name"":""暗影猛擊 ‧ 強"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 20 倍暗屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v17.10,,
2060,艷后爭鳴 ‧ 克麗奧,暗,魔族,6,"[""妖魔傾城""]",FALSE,,"[{""name"":""翩躚起舞"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     點選 2 直行的符石，將之轉化為暗魔族強化符石；1 回合內，魔族及妖精類攻擊力 2 倍     "",""tag"":[""符石轉暗"",""符石轉暗強化"",""增傷"",""魔族符石製造""]}]","[{""description"":""     ◆ 必然延長移動符石時間 2 秒。移動符石時觸碰的火、光、暗符石轉化為魔族強化符石     "",""activate"":""以「魔性原罪 ‧ 夏娃」或「艷后爭鳴 ‧ 克麗奧」作隊長及戰友"",""skill_tag"":[""延長轉珠時間"",""符石轉火強化"",""符石轉光強化"",""符石轉暗強化"",""符石強化"",""魔族符石製造""],""activate_tag"":[""指定隊長戰友""],""relative"":[2054,2060]},{""description"":""     ◆ 下回合開始時，將 4 個角落的符石轉化為暗魔族符石          ◆ 每消除 1 粒魔族符石，該回合減少 10% 所受傷害�2061,褒姒,火,魔族,5,"[""妖魔傾城""]",FALSE,,"[{""name"":""火焰猛擊 ‧ 強"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 20 倍火屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v17.10,,
2062,禍國魔娃 ‧ 褒姒,火,魔族,6,"[""妖魔傾城""]",FALSE,,"[{""name"":""魔媚之焰"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，移動符石時觸碰的符石添加為魔族符石；攻擊力基值最高 (最左方) 的魔族成員追打自身攻擊 1 次     "",""tag"":[""魔族符石製造"",""軌跡轉化"",""水屬追打"",""火屬追打"",""木屬追打"",""光屬追打"",""暗屬追打""]}]","[{""description"":""     ◆ 每進入下一層數 (Wave) 時，隨機將 3 粒符石轉化為魔族符石     "",""activate"":""隊長及戰友為魔族成員，並以「禍國魔娃 ‧ 褒姒」或「烈女勳章 ‧ 妺喜」作成員"",""skill_tag"":[""魔族符石製造""],""activate_tag"":[""指定隊長戰友""],""relative"":[2062,2066]}]",99,12,0,v17.10,,
2063,楊玉環,光,妖精類,5,"[""妖魔傾城""]",FALSE,,"[{""name"":""閃光猛擊 ‧ 強"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 20 倍光屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v17.10,,
