466,貴族伊莉莎白,水,魔族,5,"[""鮮紅恩典""]",FALSE,,"[{""name"":""狂魔之戾"",""type"":""normal"",""charge"":""CD"",""num"":12,""reduce"":4,""description"":""     全隊攻擊力提升 1.5 倍，技能發動回合以攻前炮擊或攻擊傷害擊斃敵人的數量總和，將轉化為效果持續回合     "",""tag"":[[""增傷"",5]]}]",[],50,12,4,v4.00,,
467,血浴美人 ‧ 伊莉莎白,水,魔族,6,"[""鮮紅恩典""]",FALSE,,"[{""name"":""狂魔之戾"",""type"":""normal"",""charge"":""CD"",""num"":12,""reduce"":4,""description"":""     全隊攻擊力提升 1.5 倍，技能發動回合以攻前炮擊或攻擊傷害擊斃敵人的數量總和，將轉化為效果持續回合     "",""tag"":[[""增傷"",5]]}]",[],99,12,4,v4.00,,
468,信差潔琪,火,魔族,5,"[""鮮紅恩典""]",FALSE,,"[{""name"":""狂魔暴噬"",""type"":""normal"",""charge"":""CD"",""num"":12,""reduce"":4,""description"":""     單體攻擊轉化為全體攻擊，技能發動回合以攻前炮擊或攻擊傷害擊斃敵人的數量總和，將轉化為效果持續回合     "",""tag"":[]}]",[],50,12,4,v4.00,,
469,彈簧腿 ‧ 潔琪,火,魔族,6,"[""鮮紅恩典""]",FALSE,,"[{""name"":""狂魔暴噬"",""type"":""normal"",""charge"":""CD"",""num"":12,""reduce"":4,""description"":""     單體攻擊轉化為全體攻擊，技能發動回合以攻前炮擊或攻擊傷害擊斃敵人的數量總和，將轉化為效果持續回合     "",""tag"":[]}]",[],99,12,4,v4.00,,
470,婚約者貝莉,木,魔族,5,"[""鮮紅恩典""]",FALSE,,"[{""name"":""狂魔之戾"",""type"":""normal"",""charge"":""CD"",""num"":12,""reduce"":4,""description"":""     全隊攻擊力提升 1.5 倍，技能發動回合以攻前炮擊或攻擊傷害擊斃敵人的數量總和，將轉化為效果持續回合     "",""tag"":[[""增傷"",5]]}]",[],50,12,4,v4.00,,
471,罌花新娘 ‧ 貝莉,木,魔族,6,"[""鮮紅恩典""]",FALSE,,"[{""name"":""狂魔之戾"",""type"":""normal"",""charge"":""CD"",""num"":12,""reduce"":4,""description"":""     全隊攻擊力提升 1.5 倍，技能發動回合以攻前炮擊或攻擊傷害擊斃敵人的數量總和，將轉化為效果持續回合     "",""tag"":[[""增傷"",5]]}]",[],99,12,4,v4.00,,
472,紳士傑克,光,魔族,5,"[""鮮紅恩典""]",FALSE,,"[{""name"":""狂魔之戾"",""type"":""normal"",""charge"":""CD"",""num"":12,""reduce"":4,""description"":""     全隊攻擊力提升 1.5 倍，技能發動回合以攻前炮擊或攻擊傷害擊斃敵人的數量總和，將轉化為效果持續回合     "",""tag"":[[""增傷"",5]]}]",[],50,12,4,v4.00,,
473,開膛怪傑 ‧ 傑克,光,魔族,6,"[""鮮紅恩典""]",FALSE,,"[{""name"":""狂魔之戾"",""type"":""normal"",""charge"":""CD"",""num"":12,""reduce"":4,""description"":""     全隊攻擊力提升 1.5 倍，技能發動回合以攻前炮擊或攻擊傷害擊斃敵人的數量總和，將轉化為效果持續回合     "",""tag"":[[""增傷"",5]]}]",[],99,12,4,v4.00,,
474,理髮魔偶陶德,暗,魔族,5,"[""鮮紅恩典""]",FALSE,,"[{""name"":""狂魔暴噬"",""type"":""normal"",""charge"":""CD"",""num"":12,""reduce"":4,""description"":""     單體攻擊轉化為全體攻擊，技能發動回合以攻前炮擊或攻擊傷害擊斃敵人的數量總和，將轉化為效果持續回合     "",""tag"":[]}]",[],50,12,4,v4.00,,
475,戲謔小丑 ‧ 陶德,暗,魔族,6,"[""鮮紅恩典""]",FALSE,,"[{""name"":""狂魔暴噬"",""type"":""normal"",""charge"":""CD"",""num"":12,""reduce"":4,""description"":""     單體攻擊轉化為全體攻擊，技能發動回合以攻前炮擊或攻擊傷害擊斃敵人的數量總和，將轉化為效果持續回合     "",""tag"":[]}]",[],99,12,4,v4.00,,
