1236,亞伯汗,水,神族,5,"[""墮天""]",FALSE,,"[{""name"":""寒冰強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍水屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v12.40,,
1237,噬念束縛 ‧ 亞伯汗,水,神族,6,"[""墮天""]",FALSE,,"[{""name"":""海連環"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，延長移動符石時間至 10 秒，消除符石的組數愈多時，全隊攻擊力愈高，消除 10 組可達至最大 2.5 倍     "",""tag"":[""增傷"",""延長轉珠時間""]}]","[{""description"":""     ◆ 每消除 1 組水符石，(隊長技能以外) 將額外計算多 1 連擊 (Ex. Combo)。其他計算首批消除符石的技能不受此額外的連擊 (Ex. Combo) 影響     "",""activate"":""以「噬念束縛 ‧ 亞伯汗」作隊長及戰友"",""skill_tag"":[""增加Ex.Combo""],""activate_tag"":[""指定雙隊長""],""relative"":[1237]}]",99,12,4,v12.40,,
1238,切西亞,火,神族,5,"[""墮天""]",FALSE,,"[{""name"":""烈炎強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍火屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v12.40,,
1239,變臉火術 ‧ 切西亞,火,神族,6,"[""墮天""]",FALSE,,"[{""name"":""三原靈陣 ‧ 血燄"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     所有符石隨機轉化為水、火、木及心符石，同時火符石出現率上升，並將火符石以火強化符石代替     "",""tag"":[""符石轉水"",""符石轉火"",""符石轉火強化"",""符石轉木"",""符石轉心"",""符石強化"",""大幅轉版""]}]","[{""description"":""     ◆ 把隊長的隊長技能「透幻之燄」變為「透幻之燄 ‧ 碎心」，於每回合移動符石後，引爆所有心符石，直至場上沒有心符石          ◆ 火符石兼具心符石效果     "",""activate"":""以「變臉火術 ‧ 切西亞」作隊長及戰友"",""skill_tag"":[""隊長技改變""],""activate_tag"":[""指定雙隊長""],""relative"":[1239]}]",99,12,4,v12.40,,
1240,瑰洱,木,神族,5,"[""墮天""]",FALSE,,"[{""name"":""旋風強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍木屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v12.40,,
1241,追念羇絆 ‧ 瑰洱,木,神族,6,"[""墮天""]",FALSE,,"[{""name"":""玄冥絕塵"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為木強化符石，並直接引爆場上所有光及暗符石，以掉落水、火、木及心強化符石     "",""tag"":[""符石強化"",""符石轉木強化"",""引爆"",""光符石引爆"",""暗符石引爆"",""引爆強制掉落""]}]",[],99,12,4,v12.40,,
1242,帛曳,光,神族,5,"[""墮天""]",FALSE,,"[{""name"":""金光強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍光屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v12.40,,
1243,刺骨封印 ‧ 帛曳,光,神族,6,"[""墮天""]",FALSE,,"[{""name"":""棄愛之光"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     消耗現有一半生命力，以 25 倍所扣除生命力對敵方全體造成光屬性傷害     "",""tag"":[""直傷"",""我方扣血""]}]",[],99,12,4,v12.40,,
1244,撒旦,暗,魔族,5,"[""墮天""]",FALSE,,"[{""name"":""暗色強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍暗屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v12.40,,
1245,放任孽魔 ‧ 撒旦,暗,魔族,6,"[""墮天""]",FALSE,,"[{""name"":""追魂之幽"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，暗屬性攻擊力 2 倍，自身攻擊力額外提升 3 倍     "",""tag"":[""增傷"",""界王拳""]}]","[{""description"":""     ◆ 把隊長的隊長技能「魔魅斷魂劍」變為「魔魅斷魂劍 ‧ 裂心」，於每回合移動並消除符石後，引爆所有心符石，直至場上沒有心符石          ◆ 暗符石兼具心符石效果     "",""activate"":""以「放任孽魔 ‧ 撒旦」作隊長及戰友"",""skill_tag"":[""隊長技改變""],""activate_tag"":[""指定雙隊長""],""relative"":[1245]}]",99,12,4,v12.40,,
1246,昔拉,水,妖精類,5,"[""墮天""]",FALSE,,"[{""name"":""寒冰強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍水屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v12.40,,
1247,藍蝶女王 ‧ 昔拉,水,妖精類,6,"[""墮天""]",FALSE,,"[{""name"":""蝶之翼"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     1 回合內，減少所受傷害 30%，消除水符石及心符石時，則減少所受傷害 60%     "",""tag"":[""減傷""]}]",[],99,12,4,v12.40,,
1248,撒斯姆,木,魔族,5,"[""墮天""]",FALSE,,"[{""name"":""旋風強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍木屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v12.40,,
1249,欲念幻化 ‧ 撒斯姆,木,魔族,6,"[""墮天""]",FALSE,,"[{""name"":""魔之權勢"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，魔族攻擊力及回復力 1.5 倍     "",""tag"":[""增傷"",""增回""]}]","[{""description"":""     ◆ 魔族成員的生命力提升 1.5 倍     "",""activate"":""以「欲念幻化 ‧ 撒斯姆」或「沉淪幻慾 ‧ 撒斯姆」作隊長或隊員，及隊中只有魔族成員"",""skill_tag"":[""增血""],""activate_tag"":[""指定種族成員""],""relative"":[1249,2088]}]",99,12,4,v12.40,,
1250,瑪伊雅彌,光,人類,5,"[""墮天""]",FALSE,,"[{""name"":""金光強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍光屬性傷害     "",""tag"":[""直傷""]}]",[],50,10,0,v12.40,,
1251,背德榮光 ‧ 瑪伊雅彌,光,人類,6,"[""墮天""]",FALSE,,"[{""name"":""玄虛幻變 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，光屬性攻擊力 1.5 倍；並將移動符石時觸碰的首 6 粒符石轉化為光符石     "",""tag"":[""增傷"",""符石轉光"",""軌跡轉化""]}]",[],99,12,4,v12.40,,
