1031,阿羅哈,水,人類,5,"[""自然德魯依""]",FALSE,,"[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]}]","[{""description"":""     ◆ 把「古樹神母 ‧ 希栢利」的屬性轉換為最左方的「自然德魯依」系列的角色的屬性     "",""activate"":""以「古樹神母 ‧ 希栢利」及 6 星或 7 星「自然德魯依」系列的角色作成員"",""skill_tag"":[],""activate_tag"":[""指定成員""],""relative"":[1049,1032,1034,1036,1038,1040,1406,1407,1408,1409,1410]}]",50,10,4,v10.10,,
1032,虎鯨德魯依 ‧ 阿羅哈,水,獸類,6,"[""自然德魯依""]",FALSE,,"[{""name"":""元素均霑"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，延長移動符石時間至 7 秒，並將所有符石轉化為固定數量的水、火、木、光及暗符石     "",""tag"":[""符石轉水"",""符石轉火"",""符石轉木"",""符石轉光"",""符石轉暗"",""五屬版面"",""大幅轉版"",""延長轉珠時間""]}]",[],99,12,4,v10.10,,
1033,泊安娜,火,人類,5,"[""自然德魯依""]",FALSE,,"[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]}]",[],50,10,4,v10.10,,
1034,靈鸛德魯依 ‧ 泊安娜,火,獸類,6,"[""自然德魯依""]",FALSE,,"[{""name"":""獸化支援"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，全隊攻擊力 1.5 倍；隊伍中每多一個獸類成員，額外增加效果持續 1 回合，最多可持續 6 回合 (效果持續期間技能不會冷卻)     "",""tag"":[[""增傷"",6]]}]","[{""description"":""     ◆ 把「古樹神母 ‧ 希栢利」的屬性轉換為最左方的「自然德魯依」系列的角色的屬性     "",""activate"":""以「古樹神母 ‧ 希栢利」及 6 星或 7 星「自然德魯依」系列的角色作成員"",""skill_tag"":[],""activate_tag"":[""指定成員""],""relative"":[1049,1032,1034,1036,1038,1040,1406,1407,1408,1409,1410]}]",99,12,4,v10.10,,
1035,雲陽,木,人類,5,"[""自然德魯依""]",FALSE,,"[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]}]",[],50,10,4,v10.10,,
1036,熊貓德魯依 ‧ 雲陽,木,獸類,6,"[""自然德魯依""]",FALSE,,"[{""name"":""亡命感應 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     心符石的掉落機率降至 0，並將原有機率增加至木符石的掉落機率 (效果會在再次發動此技能或死亡後消失)     "",""tag"":[[""禁珠"",-1],[""改變掉落機率"",-1],""頭像狀態""]}]","[{""description"":""     ◆ 把「古樹神母 ‧ 希栢利」的屬性轉換為最左方的「自然德魯依」系列的角色的屬性     "",""activate"":""以「古樹神母 ‧ 希栢利」及 6 星或 7 星「自然德魯依」系列的角色作成員"",""skill_tag"":[],""activate_tag"":[""指定成員""],""relative"":[1049,1032,1034,1036,1038,1040,1406,1407,1408,1409,1410]}]",99,15,4,v10.10,,
1037,多多,光,人類,5,"[""自然德魯依""]",FALSE,,"[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]}]",[],50,10,4,v10.10,,
1038,企鵝德魯依 ‧ 多多,光,獸類,6,"[""自然德魯依""]",FALSE,,"[{""name"":""冰靈術"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     攻擊力 1.5 倍，直至消除心符石 (只計算首批消除的符石)，效果持續期間技能不會冷卻     "",""tag"":[[""增傷"",-1]]}]","[{""description"":""     ◆ 把「古樹神母 ‧ 希栢利」的屬性轉換為最左方的「自然德魯依」系列的角色的屬性     "",""activate"":""以「古樹神母 ‧ 希栢利」及 6 星或 7 星「自然德魯依」系列的角色作成員"",""skill_tag"":[],""activate_tag"":[""指定成員""],""relative"":[1049,1032,1034,1036,1038,1040,1406,1407,1408,1409,1410]}]",99,12,4,v10.10,,
1039,蘇瑪塔,暗,人類,5,"[""自然德魯依""]",FALSE,,"[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]}]",[],50,10,4,v10.10,,
1040,食夢貘德魯依 ‧ 蘇瑪塔,暗,獸類,6,"[""自然德魯依""]",FALSE,,"[{""name"":""蝕夢之靈"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，沒有消除心符石，全隊攻擊力 2 倍；反之，全隊攻擊力 1.5 倍     "",""tag"":[""增傷""]}]","[{""description"":""     ◆ 把「古樹神母 ‧ 希栢利」的屬性轉換為最左方的「自然德魯依」系列的角色的屬性     "",""activate"":""以「古樹神母 ‧ 希栢利」及 6 星或 7 星「自然德魯依」系列的角色作成員"",""skill_tag"":[],""activate_tag"":[""指定成員""],""relative"":[1049,1032,1034,1036,1038,1040,1406,1407,1408,1409,1410]}]",99,12,4,v10.10,,
