1785,阿路加,暗,人類,6,"[""素材""]",TRUE,,"[{""name"":""沒有技能"",""type"":""normal"",""charge"":""CD"",""num"":0,""description"":""     沒有技能     "",""tag"":[]}]",[],1,0,0,v15.30,,
1819,黃金蝦,光,強化素材,5,"[""素材""]",FALSE,,"[{""name"":""沒有技能"",""type"":""normal"",""charge"":""CD"",""num"":0,""description"":""     沒有技能     "",""tag"":[]}]",[],30,0,0,v16.00,,
2128,聖域神鹿,光,強化素材,4,"[""素材""]",FALSE,,"[{""name"":""沒有技能"",""type"":""normal"",""charge"":""CD"",""num"":0,""description"":""     沒有技能     "",""tag"":[]}]",[],1,0,0,v17.20,,
2170,比格蒙,木,強化素材,4,"[""素材""]",TRUE,,"[{""name"":""沒有技能"",""type"":""normal"",""charge"":""CD"",""num"":0,""description"":""     沒有技能     "",""tag"":[]}]",[],1,0,0,v17.40,,
2201,小初音未來,木,強化素材,4,"[""素材""]",TRUE,,"[{""name"":""沒有技能"",""type"":""normal"",""charge"":""CD"",""num"":0,""description"":""     沒有技能     "",""tag"":[]}]",[],99,0,0,v18.00,,
2202,章魚流歌,暗,強化素材,4,"[""素材""]",TRUE,,"[{""name"":""沒有技能"",""type"":""normal"",""charge"":""CD"",""num"":0,""description"":""     沒有技能     "",""tag"":[]}]",[],99,0,0,v18.00,,
2211,咔啦雞腿堡,火,強化素材,5,"[""素材""]",TRUE,,"[{""name"":""沒有技能"",""type"":""normal"",""charge"":""CD"",""num"":0,""description"":""     沒有技能     "",""tag"":[]}]",[],1,0,0,v18.00,,
2213,刪卡女友 ‧ 小蘋果,火,強化素材,5,"[""素材""]",FALSE,,"[{""name"":""沒有技能"",""type"":""normal"",""charge"":""CD"",""num"":0,""description"":""     沒有技能     "",""tag"":[]}]",[],1,0,0,v18.00,,
2242,白晶簇,水,妖精類,4,"[""素材""]",FALSE,,"[{""name"":""心之加冕"",""type"":""normal"",""charge"":""CD"",""num"":3,""description"":""     將心符石轉化為強化符石     "",""tag"":[""符石強化"",""符石轉心強化""]}]",[],30,12,0,v18.10,,
2328,活管異物,光,強化素材,3,"[""素材""]",FALSE,,"[{""name"":""沒有技能"",""type"":""normal"",""charge"":""CD"",""num"":0,""description"":""     沒有技能     "",""tag"":[]}]",[],1,0,0,v18.30,,
