1636,烏波 ‧ 薩斯拉,水,龍類,5,"[""宇宙序章""]",FALSE,,"[{""name"":""橫掃攻擊 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     對敵方全體進行 3 次水屬性攻擊     "",""tag"":[""直傷""]}]",[],50,10,4,v14.30,,
1637,自生之源 ‧ 烏波,水,龍類,6,"[""宇宙序章""]",FALSE,,"[{""name"":""水龍之濤"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，水屬性及龍類攻擊力 1.6 倍，首批消除所有水符石時，則提升至 2 倍。技能發動回合以攻前炮擊或攻擊傷害擊斃敵人，回合結束時完全回復生命力     "",""tag"":[""回血"",""增傷""]}]",[],99,12,4,v14.30,,
1638,格赫羅斯,火,魔族,5,"[""宇宙序章""]",FALSE,,"[{""name"":""橫掃攻擊 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     對敵方全體進行 3 次火屬性攻擊     "",""tag"":[""直傷""]}]",[],50,10,4,v14.30,,
1639,瘋癲夢界度 ‧ 格赫羅斯,火,魔族,6,"[""宇宙序章""]",FALSE,,"[{""name"":""夢中結界"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，2 粒符石相連，即可發動消除，效果持續至消除 1 種符石達 30 粒     "",""tag"":[""二消""]}]","[{""description"":""     ◆ 每消除 1 組符石時，全隊攻擊力提升 0.15 倍，消除 8 組可提升至最大 2.2 倍          ◆ 隊伍中 6 星「宇宙序章」系列成員愈多     ⇒ 所獲得的效果愈多：          ▋ ≥2 隻：     隊中最左方的 2 隻「瘋癲夢界度 ‧ 格赫羅斯」的攻擊力基值跟隨攻擊力基值最高的成員          ▋ ≥3 隻：     魔族、龍類及獸類     ⇒ 「生命力、攻擊力及回復力」1.5 倍          ▋ ≥4 隻：     必然延長移動符石時間 2 秒     "",""activate"":""以「瘋癲夢界度 ‧ 格赫羅斯」作隊長及戰友"",""skill_tag"":[""增攻"",""攻擊力共鳴"",""增回"",""增血"",""延長轉1640,伊波 ‧ 茲特爾,木,魔族,5,"[""宇宙序章""]",FALSE,,"[{""name"":""橫掃攻擊 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     對敵方全體進行 3 次木屬性攻擊     "",""tag"":[""直傷""]}]",[],50,10,4,v14.30,,
1641,邪惡源核 ‧ 伊波,木,魔族,6,"[""宇宙序章""]",FALSE,,"[{""name"":""魔念擴散"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     1 回合內，隊長及戰友攻擊力 2.5 倍。若隊長及戰友都是魔族時，將兩者所在隊伍欄直行的符石分別轉化為兩者屬性的符石     "",""tag"":[""增傷"",""界王拳""]}]",[],99,12,4,v14.30,,
1642,道羅斯,光,龍類,5,"[""宇宙序章""]",FALSE,,"[{""name"":""橫掃攻擊 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     對敵方全體進行 3 次光屬性攻擊     "",""tag"":[""直傷""]}]",[],50,10,4,v14.30,,
1643,悖論創造 ‧ 道羅斯,光,龍類,6,"[""宇宙序章""]",FALSE,,"[{""name"":""力量之源"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，自身攻擊力 4 倍；連擊 (Combo) 數目增加 6；隊伍中每個龍類、獸類或妖精類成員將額外增加 1 連擊 (Combo)，最多可額外增加 6 連擊 (Combo)     "",""tag"":[""增傷"",""界王拳"",""增加Combo"",""多重左上狀態""]}]","[{""description"":""     ◆ 每回合移動符石時觸碰的首 5 粒符石轉化為光強化符石     "",""activate"":""以「悖論創造 ‧ 道羅斯」作隊長及戰友"",""skill_tag"":[""符石轉光"",""符石轉光強化""],""activate_tag"":[""指定雙隊長""],""relative"":[1643]},{""description"":""     ◆ 龍類及獸類成員     ⇒ 增加 600 點回復力基值     "",""activate"":""以「悖論創造 ‧ 道羅斯」作隊長及戰友，且隊中只有光屬性獸類、光屬性妖精類或光屬性龍類成員"",""skill_tag"":[""增回""],""activ1644,阿撒托斯,暗,龍類,5,"[""宇宙序章""]",FALSE,,"[{""name"":""橫掃攻擊 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     對敵方全體進行 3 次暗屬性攻擊     "",""tag"":[""直傷""]}]",[],50,10,4,v14.30,,
1645,因果破壞 ‧ 阿撒托斯,暗,龍類,6,"[""宇宙序章""]",FALSE,,"[{""name"":""滅絕之噬"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     引爆場上所有符石     ⇒ 掉落直行龍類成員屬性的龍族強化符石     ⇒ 龍類以外成員直行的符石則隨機掉落     "",""tag"":[""引爆"",""整版引爆"",""引爆強制掉落"",""龍族符石製造""]}]","[{""description"":""     ◆ 進入關卡後，暗屬性龍類成員技能 CD -6          ◆ 每首批消除 10 粒符石時     ⇒ 於發動攻擊前對全體敵人造成 100 萬暗屬性傷害     ⇒ 首批消除 30 粒符石可造成最多 300 萬暗屬性傷害          ◆ 將敵方所受此攻擊傷害的 1%     ⇒ 轉化為我方生命力 (只適用於未被擊斃的敵人)          ◆ 每擊斃 1 個敵人     ⇒ 回復自身總生命力 50%          ◆ 延長移動符石時間 1 秒，隊伍成員屬性愈多，延長移動符石時間愈多，最多可延長 3 秒     "",""activate"":""�1646,阿布霍斯,水,獸類,5,"[""宇宙序章""]",FALSE,,"[{""name"":""橫掃攻擊 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     對敵方全體進行 3 次水屬性攻擊     "",""tag"":[""直傷""]}]",[],50,10,4,v14.30,,
1647,救贖思考 ‧ 阿布霍斯,水,獸類,6,"[""宇宙序章""]",FALSE,,"[{""name"":""思潮迸發"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     1 回合內，全隊攻擊力 2 倍；若首批消除相同連擊 (Combo) 數目的水符石及心符石，當前技能 CD 減少 5     "",""tag"":[""增傷"",""減CD""]}]",[],99,12,4,v14.30,,
1648,加塔諾托亞,光,獸類,5,"[""宇宙序章""]",FALSE,,"[{""name"":""橫掃攻擊 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     對敵方全體進行 3 次光屬性攻擊     "",""tag"":[""直傷""]}]",[],50,10,4,v14.30,,
