name,type,charge,num,description,tag
,normal,,0,          ,[]
,normal,,0,          ,[]
符石解放 ‧ 水,normal,CD,5,     直接引爆木符石造成敵全體水屬性傷害     ,["引爆","木符石引爆","直傷"]
符石解放 ‧ 水,normal,CD,5,     直接引爆木符石造成敵全體水屬性傷害     ,["引爆","木符石引爆","直傷"]
符石解放 ‧ 水,normal,CD,5,     直接引爆木符石造成敵全體水屬性傷害     ,["引爆","木符石引爆","直傷"]
符石激發 ‧ 水,normal,CD,5,     直接引爆木符石造成敵全體水屬性傷害，並產生強化符石     ,["引爆","木符石引爆","直傷"]
符石解放 ‧ 火,normal,CD,5,     直接引爆水符石造成敵全體火屬性傷害     ,["引爆","水符石引爆","直傷"]
符石解放 ‧ 火,normal,CD,5,     直接引爆水符石造成敵全體火屬性傷害     ,["引爆","水符石引爆","直傷"]
符石解放 ‧ 火,normal,CD,5,     直接引爆水符石造成敵全體火屬性傷害     ,["引爆","水符石引爆","直傷"]
符石激發 ‧ 火,normal,CD,5,     直接引爆水符石造成敵全體火屬性傷害，並產生強化符石     ,["引爆","水符石引爆","直傷"]
符石解放 ‧ 木,normal,CD,5,     直接引爆火符石造成敵全體木屬性傷害     ,["引爆","火符石引爆","直傷"]
符石解放 ‧ 木,normal,CD,5,     直接引爆火符石造成敵全體木屬性傷害     ,["引爆","火符石引爆","直傷"]
符石解放 ‧ 木,normal,CD,5,     直接引爆火符石造成敵全體木屬性傷害     ,["引爆","火符石引爆","直傷"]
符石激發 ‧ 木,normal,CD,5,     直接引爆火符石造成敵全體木屬性傷害，並產生強化符石     ,["引爆","火符石引爆","直傷"]
符石解放 ‧ 光,normal,CD,5,     直接引爆暗符石造成敵全體光屬性傷害     ,["引爆","暗符石引爆","直傷"]
符石解放 ‧ 光,normal,CD,5,     直接引爆暗符石造成敵全體光屬性傷害     ,["引爆","暗符石引爆","直傷"]
符石解放 ‧ 光,normal,CD,5,     直接引爆暗符石造成敵全體光屬性傷害     ,["引爆","暗符石引爆","直傷"]
符石激發 ‧ 光,normal,CD,5,     直接引爆暗符石造成敵全體光屬性傷害，並產生強化符石     ,["引爆","暗符石引爆","直傷"]
符石解放 ‧ 暗,normal,CD,5,     直接引爆光符石造成敵全體暗屬性傷害     ,["引爆","光符石引爆","直傷"]
符石解放 ‧ 暗,normal,CD,5,     直接引爆光符石造成敵全體暗屬性傷害     ,["引爆","光符石引爆","直傷"]
符石解放 ‧ 暗,normal,CD,5,     直接引爆光符石造成敵全體暗屬性傷害     ,["引爆","光符石引爆","直傷"]
符石激發 ‧ 暗,normal,CD,5,     直接引爆光符石造成敵全體暗屬性傷害，並產生強化符石     ,["引爆","光符石引爆","直傷"]
攻擊姿勢 ‧ 水,normal,CD,5,     心符石轉化為水符石     ,["符石轉水","心轉其他"]
攻擊姿勢 ‧ 水,normal,CD,5,     心符石轉化為水符石     ,["符石轉水","心轉其他"]
攻擊姿勢 ‧ 水,normal,CD,5,     心符石轉化為水符石     ,["符石轉水","心轉其他"]
攻擊姿勢 ‧ 水,normal,CD,5,     心符石轉化為水符石     ,["符石轉水","心轉其他"]
防禦姿勢 ‧ 火,normal,CD,5,     木符石轉化為心符石     ,["符石轉心","木轉其他"]
防禦姿勢 ‧ 火,normal,CD,5,     木符石轉化為心符石     ,["符石轉心","木轉其他"]
防禦姿勢 ‧ 火,normal,CD,5,     木符石轉化為心符石     ,["符石轉心","木轉其他"]
防禦姿勢 ‧ 火,normal,CD,5,     木符石轉化為心符石     ,["符石轉心","木轉其他"]
防禦壁,normal,CD,15,     3 回合內，所受傷害減少 50%     ,[["減傷",3]]
防禦壁,normal,CD,15,     3 回合內，所受傷害減少 50%     ,[["減傷",3]]
防禦壁,normal,CD,15,     3 回合內，所受傷害減少 50%     ,[["減傷",3]]
防禦壁,normal,CD,15,     3 回合內，所受傷害減少 50%     ,[["減傷",3]]
裝甲破壞,normal,CD,10,     3 回合內，敵人的防禦力減少 75%     ,[["破防",3],"敵身狀態"]
裝甲破壞,normal,CD,10,     3 回合內，敵人的防禦力減少 75%     ,[["破防",3],"敵身狀態"]
裝甲破壞,normal,CD,10,     3 回合內，敵人的防禦力減少 75%     ,[["破防",3],"敵身狀態"]
護牆崩壞,normal,CD,10,     3 回合內，全體敵人的防禦力減少 90%     ,[["破防",3],"敵身狀態"]
防禦姿勢 ‧ 暗,normal,CD,5,     光符石轉化為心符石     ,["符石轉心","光轉其他"]
防禦姿勢 ‧ 暗,normal,CD,5,     光符石轉化為心符石     ,["符石轉心","光轉其他"]
防禦姿勢 ‧ 暗,normal,CD,5,     光符石轉化為心符石     ,["符石轉心","光轉其他"]
防禦姿勢 ‧ 暗,normal,CD,5,     光符石轉化為心符石     ,["符石轉心","光轉其他"]
水波怒擊,normal,CD,10,     對敵方全體造成 5 倍水屬性傷害     ,["直傷"]
水波怒擊,normal,CD,10,     對敵方全體造成 5 倍水屬性傷害     ,["直傷"]
水波爆擊,normal,CD,6,     對敵方全體造成自身攻擊力 30 倍的水屬性傷害     ,["直傷"]
火焰怒擊,normal,CD,10,     對敵方全體造成 5 倍火屬性傷害     ,["直傷"]
火焰怒擊,normal,CD,10,     對敵方全體造成 5 倍火屬性傷害     ,["直傷"]
火焰爆撃,normal,CD,6,     對敵方全體造成自身攻擊力 30 倍的火屬性傷害     ,["直傷"]
大地怒擊,normal,CD,10,     對敵方全體造成 5 倍木屬性傷害     ,["直傷"]
大地怒擊,normal,CD,10,     對敵方全體造成 5 倍木屬性傷害     ,["直傷"]
大地爆擊,normal,CD,6,     對敵方全體造成自身攻擊力 30 倍的木屬性傷害     ,["直傷"]
閃光怒擊,normal,CD,10,     對敵方全體造成 5 倍光屬性傷害     ,["直傷"]
閃光怒擊,normal,CD,10,     對敵方全體造成 5 倍光屬性傷害     ,["直傷"]
閃光爆撃,normal,CD,6,     對敵方全體造成自身攻擊力 30 倍的光屬性傷害     ,["直傷"]
暗影怒擊,normal,CD,10,     對敵方全體造成 5 倍暗屬性傷害     ,["直傷"]
暗影怒擊,normal,CD,10,     對敵方全體造成 5 倍暗屬性傷害     ,["直傷"]
暗影爆撃,normal,CD,6,     對敵方全體造成自身攻擊力 30 倍的暗屬性傷害     ,["直傷"]
寒冰一擊,normal,CD,10,     對單一敵人造成 5 倍水屬性傷害     ,["直傷"]
攻擊姿勢 ‧ 水,normal,CD,5,     心符石轉化為水符石     ,["符石轉水","心轉其他"]
烈炎一擊,normal,CD,10,     對單一敵人造成 5 倍火屬性傷害     ,["直傷"]
攻擊姿勢 ‧ 火,normal,CD,5,     心符石轉化為火符石     ,["符石轉火","心轉其他"]
旋風一擊,normal,CD,10,     對單一敵人造成 5 倍木屬性傷害     ,["直傷"]
攻擊姿勢 ‧ 木,normal,CD,5,     心符石轉化為木符石     ,["符石轉木","心轉其他"]
金光一擊,normal,CD,10,     對單一敵人造成 5 倍光屬性傷害     ,["直傷"]
攻擊姿勢 ‧ 光,normal,CD,5,     心符石轉化為光符石     ,["符石轉光","心轉其他"]
暗色一擊,normal,CD,10,     對單一敵人造成 5 倍暗屬性傷害     ,["直傷"]
攻擊姿勢 ‧ 暗,normal,CD,5,     心符石轉化為暗符石     ,["符石轉暗","心轉其他"]
生命補充,normal,CD,10,     回復自身回復力 5 倍的生命力     ,["回血"]
超級治療,normal,CD,10,     回復自身回復力 10 倍的生命力     ,["回血"]
生命補充,normal,CD,10,     回復自身回復力 5 倍的生命力     ,["回血"]
超級治療,normal,CD,10,     回復自身回復力 10 倍的生命力     ,["回血"]
生命補充,normal,CD,10,     回復自身回復力 5 倍的生命力     ,["回血"]
超級治療,normal,CD,10,     回復自身回復力 10 倍的生命力     ,["回血"]
生命補充,normal,CD,10,     回復自身回復力 5 倍的生命力     ,["回血"]
超級治療,normal,CD,10,     回復自身回復力 10 倍的生命力     ,["回血"]
生命補充,normal,CD,10,     回復自身回復力 5 倍的生命力     ,["回血"]
超級治療,normal,CD,10,     回復自身回復力 10 倍的生命力     ,["回血"]
寒冰一擊,normal,CD,10,     對單一敵人造成 5 倍水屬性傷害     ,["直傷"]
寒冰強擊,normal,CD,10,     對單一敵人造成 10 倍水屬性傷害     ,["直傷"]
烈炎一擊,normal,CD,10,     對單一敵人造成 5 倍火屬性傷害     ,["直傷"]
烈炎強擊,normal,CD,10,     對單一敵人造成 10 倍火屬性傷害     ,["直傷"]
旋風一擊,normal,CD,10,     對單一敵人造成 5 倍木屬性傷害     ,["直傷"]
旋風強擊,normal,CD,10,     對單一敵人造成 10 倍木屬性傷害     ,["直傷"]
金光一擊,normal,CD,10,     對單一敵人造成 5 倍光屬性傷害     ,["直傷"]
金光強擊,normal,CD,10,     對單一敵人造成 10 倍光屬性傷害     ,["直傷"]
暗色一擊,normal,CD,10,     對單一敵人造成 5 倍暗屬性傷害     ,["直傷"]
暗色強擊,normal,CD,10,     對單一敵人造成 10 倍暗屬性傷害     ,["直傷"]
流水連擊,normal,CD,5,     進行 5 次水屬性攻擊     ,["直傷"]
流水狂擊,normal,CD,5,     進行 15 次水屬性攻擊     ,["直傷"]
烈焰連擊,normal,CD,5,     進行 5 次火屬性攻擊     ,["直傷"]
烈焰狂擊,normal,CD,5,     進行 15 次火屬性攻擊     ,["直傷"]
片葉連擊,normal,CD,5,     進行 5 次木屬性攻擊     ,["直傷"]
片葉狂擊,normal,CD,5,     進行 15 次木屬性攻擊     ,["直傷"]
光刃連擊,normal,CD,5,     進行 5 次光屬性攻擊     ,["直傷"]
光刃狂擊,normal,CD,5,     進行 15 次光屬性攻擊     ,["直傷"]
